Variable name,English,German,Scale English,Scale German,Source
engagement,How engaged did you find your students in today's lesson compared to other lessons?,Wie engagiert fandest du deine SchülerInnen in der heutigen Stunde im Vergleich zu anderen Stunden?,"Much less engaged, slightly less engaged, equally engaged, slightly more engaged, much more engaged","(1) Viel weniger engagiert, Etwas weniger engagiert, gleich engagiert, etwas mehr engagiert, (5) viel mehr engagiert",
questions,"In your opinion, how many relevant questions did your students ask during today's lesson?",Wie viele relevanten Fragen haben deine SchülerInnen deiner Meinung nach in der heutigen Stunde gestellt?,"No relevant questions, very few relevant questions, some relevant questions, many relevant questions, very many relevant questions","(1) Keine relevanten Fragen, sehr wenige relevante Fragen, Einige relevante Fragen, Viele relevante Fragen, (5) Sehr viele relevante Fragen",
difficulty_1,How easy was it to guide the students through the lesson in terms of: - The content,Wie einfach war es die SchülerInnen durch die Stunde zu leiten im Bezug auf: - Den Inhalt,"Very difficult, rather difficult, moderate, rather easy, very easy","(1) Sehr schwierig, eher schwierig, mittel, eher einfach, (5) sehr einfach",
difficulty_2,How easy was it to guide the students through the lesson in terms of: - The students' behavior,Wie einfach war es die SchülerInnen durch die Stunde zu leiten im Bezug auf: - Das Verhalten der SchülerInnen,"Very difficult, rather difficult, moderate, rather easy, very easy","(1) Sehr schwierig, eher schwierig, mittel, eher einfach, (5) sehr einfach",
learning,How much do you think your students learned in today's lesson?,Wie viel haben deine SchülerInnen deiner Meinung nach in der heutigen Unterrichtsstunde gelernt?,"Learned nothing, learned a little, learned something, learned a lot, learned a great deal","(1) Nicht gelernt, wenig gelernt, etwas gelernt, viel gelernt, (5) sehr viel gelernt",
postitive,What two things did you like about today's lesson?,Welche zwei Dinge haben dir in der heutigen Stunde gut gefallen?,Open ended,Open ended,
negative,"What two things did you find difficult in today's lesson, or what would you have liked to have done differently?",Welche zwei Dinge fandest du in der heutigen Stunde schwierig oder hättest du gerne anders gemacht?,Open ended,Open ended,
qualitative,There is space here if you would like to tell us anything else.,"Hier ist Platz, falls du uns sonst noch etwas mitteilen möchtest.",Open ended,Open ended,
LLM_helpful,How helpful did you find the last language interaction with Marty for the students' learning?,Wie hilfreich für das Lernen der SchülerInnen fandest du die letzte Sprachinteraktion mit Marty?,"Not helpful at all (1), Somewhat helpful, Helpful, Very helpful (4), I can't say (5)","überhaupt nicht hilfreich (1), etwas hilfreich, hilfreich, sehr hilfreich (4), kann ich nicht beurteilen (5)",
LLM_easy,How easy did you find the last language interaction for the students?,Wie einfach fandest du die letzte Sprachinteraktion für die SchülerInnen?,"(1) Very difficult, rather difficult, moderate, rather easy, (5) very easy, I cannot judge (6)","(1) Sehr schwierig, eher schwierig, mittel, eher einfach, (5) sehr einfach, kann ich nicht beurteilen (6)",
LLM_engaging,How entertaining did you find the last language interaction for the students?,Wie unterhaltsam fandest du die letzte Sprachinteraktion für die SchülerInnen?,"(1) Not entertaining at all, not very entertaining, neither entertaining nor not entertaining, somewhat entertaining, very entertaining (5), I can't say (6)","(1) Überhauptnicht unterhaltsam, eher nicht unterhaltsam, weder noch, eher unterhaltsam, sehr unterhaltsam (5), kann ich nicht beurteilen (6)",
project_like,How did you like the entire project?,Wie hat dir das gesamte Projekt gefallen?,"(1) very poor, rather poor, neither, rather good, very good (5)","(1) sehr schlecht, eher schlecht, weder noch, eher gut, sehr gut (5)",
project_learning,How much did the learning partners learn throughout the entire project?,Wie viel haben die LernpartnerInnen im gesamten Projekt gelernt?,"(1) very little, little, medium, a lot, a lot (5)","(1) sehr wenig, wenig, mittel, viel, sehr viel (5)",
project_difficulty_1,What was it like to guide the students through the project in terms of: - The content,Wie war es die SchülerInnen durch das Projekt zu leiten im Bezug auf: - Den Inhalt,"(1) Very difficult, rather difficult, moderate, rather easy, (5) very easy","(1) Sehr schwierig, eher schwierig, mittel, eher einfach, (5) sehr einfach",
project_difficulty_2,What was it like to guide the students through the project in terms of: - The students' behavior,Wie war es die SchülerInnen durch das Projekt zu leiten im Bezug auf: - Das Verhalten der SchülerInnen,"(1) Very difficult, rather difficult, moderate, rather easy, (5) very easy","(1) Sehr schwierig, eher schwierig, mittel, eher einfach, (5) sehr einfach",
project_positive,What did you like about the whole project?,Was hat dir am gesamten Projekt gut gefallen?,open-ended,open-ended,
project_value,How did the project create added value?,Wie hat das Projekt einen Mehrwert geschaffen?,open-ended,open-ended,
project_challenging,Which aspects of the program were challenging?,Welche Aspekte des Programms waren herausfordernd?,open-ended,open-ended,
project_change,How would you like to change the program for the future?,Wie würdest du das Programm gern für die Zukunft verändern?,open-ended,open-ended,
